Rank,Word,Frequency,POS
"6","นามธรรม","abstract, adj.",""
"5","การเข้าถึง","access, n.",""
"4","เข้าถึง","access, v.",""
"4","อำนวยความสะดวก","accommodate",""
"3","สะสม","accumulate, (tangible)",""
"3","ผู้บริหาร","administrator",""
"5","แก้ไขเพิ่มเติม","amend",""
"7","แปรญัตติ","amend, (legistlative)",""
"5","นักวิเคราะห์","analyst",""
"5","ผนวก","append",""
"6","ภาคผนวก","appendix",""
"6","ติดอาวุธ","arm, v.",""
"3","พฤติกรรม","behavior",""
"9","ความลำเอียง","bias",""
"6","ลำเอียง","biased",""
"9","ทัณฑ์บน","bond, (bail)",""
"5","แพ่ง","civil (law)",""
"5","เพื่อนร่วมงาน","colleague, (coworker)",""
"5","ติดต่อสื่อสาร","communicate, (general)",""
"2","สื่อสาร","communicate, (via device)",""
"3","รวบรวม","compile",""
"4","ประพันธ์","compose",""
"6","ปรึกษาหารือ","confer",""
"5","ยินยอม","consent, v.",""
"5","อุปโภค","consume, (inedible goods)",""
"4","รับเหมา","contract, (work)",""
"6","เรียกประชุม","convene",""
"5","เพาะปลูก","cultivate, (agriculture)",""
"6","การเพาะปลูก","cultivation",""
"6","วัฏจักร","cycle, n.",""
"6","ข้อเรียกร้อง","demand",""
"4","มิติ","dimension",""
"9","ปลดอาวุธ","disarm",""
"4","เข้มแข็ง","dynamic, (as leader)",""
"7","ปราดเปรียว","dynamic, (as public speaker)",""
"6","พลวัต","dynamic, (science)",""
"5","บังคับใช้","enforce",""
"3","สูตร","formula",""
"6","อุดมคติ","ideal, n. (perfect standard)",""
"7","อุบัติการณ์","incidence",""
"3","ดัชนี","index",""
"11","อุปมาน","infer",""
"6","สมาชิกสภานิติบัญญัติ","legislator",""
"6","ผู้เยาว์","minor (child)",""
"4","โดยรวม","overall",""
"4","ปรากฏการณ์","phenomenon",""
"3","ปรัชญา","philosophy",""
"7","ทำปฏิกิริยา","react",""
"7","เกี่ยวกับประเด็น","relevant, (on-topic)",""
"4","ข้อกำหนด","requirement",""
"3","งานวิจัย","research, n.",""
"2","วิจัย","research, v.",""
"3","บทบาท","role",""
"6","มีนัยสำคัญ","significant",""
"14","ผู้ชำนัญพิเศษ","specialist",""
"5","เสถียรภาพ","stability",""
"2","สถิติ","statistic",""
"2","สถิติ","statistic",""
"10","ความเค้น","stress, (force)",""
"5","ความเครียด","stress, (psychology)",""
"5","ทางเทคนิค","technical",""
"4","แนวโน้ม","tendency",""
"3","สิ้นสุด","terminate",""
"2","หัวข้อ","topic",""
"5","ร่องรอย","trace, n.",""
"5","ตามรอย","trace, v.",""
"5","ความสามัคคี","unity",""
"4","เสมือน","virtual",""
