Rank,Word,Frequency,POS
"5","การกีฬา","athletics",""
"2","กติกา","rules",""
"5","แชมเปี้ยน","champion",""
"6","ถ้วยรางวัล","trophy",""
"7","กายบริหาร","exercise",""
"4","ออกกำลังกาย","exercise (informal)",""
"7","โรงยิม","gymnasium",""
"11","วิ่งข้ามรั้ว","hurdle",""
"4","บาดเจ็บ","injured",""
"2","รอบ","lap",""
"5","มาราธอน","marathon",""
"2","นัด","match",""
"6","แข่งเรือ","rowing",""
"2","คะแนน","score",""
"6","ทำคะแนน","to score",""
"9","น้ำใจนักกีฬา","sportsmanship",""
"5","สนามกีฬา","stadium",""
"9","อัฒจันทร์","stands",""
"2","ทีม","team",""
"5","สระว่ายน้ำ","swimming pool",""
