Rank,Word,Frequency,POS
"3","ไปรษณีย์","post office (informal)",""
"6","ที่ทำการไปรษณีย์","post office (formal)",""
"3","พัสดุ","parcel",""
"7","เครื่องชั่ง","scale",""
"3","จดหมาย","letter",""
"7","ตู้จดหมาย","mailbox (private, for receiving)",""
"9","ตู้ไปรษณีย์","letterbox (public, for sending)",""
"9","ไปรษณียากร","postage",""
"8","สแตมป์","stamp (informal)",""
"12","ดวงตราไปรษณีย์","stamp (formal)",""
"4","ซอง","envelope",""
"6","ใบเสร็จ","receipt",""
"9","บุรุษไปรษณีย์","mailman",""
"2","ที่อยู่","address",""
"5","บ้านเลขที่","house number",""
"3","รหัสไปรษณีย์","postal code",""
"1","ส่ง","to send",""
"5","ส่งจดหมาย","to post a letter",""
"6","เขียนจดหมาย","to write a letter",""
