Rank,Word,Frequency,POS,source_file
5,บทคัดย่อ,"abstract, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,สั่งสม,"accumulate, (intangible)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,แม่นยำ,"accurate, (on target)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ถูกต้อง,"accurate, (correct)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,บรรลุ,achieve,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ยอมรับ,"acknowledge, (accept)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,รัฐบาล,"administration, (government)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,การบริหาร,"administration, (business)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ผู้ใหญ่,"adult, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
7,สุนทรียภาพ,aesthetics,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,จัดสรร,allocate,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ทางเลือก,"alternative, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,วิเคราะห์,analyze,,SEAlang_Thai_AWL_main_2025-12-30_08-07
8,กำกวม,ambiguous,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ประจำปี,annual,,SEAlang_Thai_AWL_main_2025-12-30_08-07
9,ประมาณการณ์,anticipate,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ทาบทาม,"approach, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,แนวทาง,"approach, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,เหมาะสม,"appropriate, adj.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ประกอบ,"assemble, (put together)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ประเมิน,assess,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,มอบหมาย,assign,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ความช่วยเหลือ,"assistance, (service)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,การช่วยเหลือ,assisting,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,นักประพันธ์,"author, (career)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ผู้เขียน,"author, (incidental)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,เจ้าหน้าที่,"authorities, (government)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,อัตโนมัติ,automatic,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ในนาม,behalf,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ประโยชน์,"benefit, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,สวัสดิการ,"benefits, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,พันธบัตร,"bond, (finance)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
1,สามารถ,capable,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ประเภท,category,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,บท,"chapter, (book)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,สารเคมี,"chemical, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,วงจร,"circuit, (electrical)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,สถานการณ์,circumstance,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,อ้างอิง,cite,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,พลเรือน,civilian,,SEAlang_Thai_AWL_main_2025-12-30_08-07
7,ประจวบเหมาะ,coincide,,SEAlang_Thai_AWL_main_2025-12-30_08-07
7,ค่านายหน้า,"commission, n. (fee)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ชุมชน,community,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ชดเชย,compensate,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ค่าตอบแทน,compensation,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ซับซ้อน,"complex, adj.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,สลับซับซ้อน,elaborate,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ประณีต,intricate,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,สารประกอบ,"compound, (chemical)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ประกอบด้วย,comprised of,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,พฤติกรรม,"conduct, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ประกอบด้วย,consist of,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,แนวคิด,concept,,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ข้อสรุป,conclusion,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,ยืนยัน,confirm,,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ความขัดแย้ง,"conflict, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,ปรึกษาหารือ,"consult, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,บริโภค,"consume, (edibles)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ผู้บริโภค,consumer,,SEAlang_Thai_AWL_main_2025-12-30_08-07
1,ติดต่อ,"contact, v. (communicate)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
5,ร่วมสมัย,contemporary,,SEAlang_Thai_AWL_main_2025-12-30_08-07
6,บริบท,context,,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,สัญญา,"contract, n.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
2,สนทนา,converse,,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ร่วมมือ,"cooperate, (direct)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,ให้ความร่วมมือ,"cooperate, (indirect)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
3,ประสานงาน,"coordinate, v.",,SEAlang_Thai_AWL_main_2025-12-30_08-07
7,แกนกลาง,"core, (central)",,SEAlang_Thai_AWL_main_2025-12-30_08-07
4,วิกฤติ,crisis,,SEAlang_Thai_AWL_main_2025-12-30_08-07
